Date,Confirmed,Fatal,Recovered,Hosp_require,Moderate,Severe,Tests
2/6/2020,25,0,4,0,0,0,698
2/7/2020,25,0,4,0,0,0,717
2/10/2020,26,0,9,0,0,0,938
2/12/2020,28,0,10,0,0,0,954
2/13/2020,29,0,11,0,0,0,964
2/14/2020,33,0,12,0,0,0,978
2/17/2020,59,1,16,0,-3,3,1251
2/18/2020,66,1,16,0,-3,3,1287
2/19/2020,73,1,18,0,-6,6,1296
2/20/2020,84,1,20,0,-7,7,1432
2/21/2020,93,1,20,0,-9,9,1522
2/22/2020,105,1,24,0,-10,10,1607
2/23/2020,129,1,24,0,-11,11,1703
2/24/2020,141,1,26,0,-13,13,1742
2/25/2020,155,1,18,0,-14,14,1846
2/26/2020,164,1,32,0,-15,15,1890
2/27/2020,186,3,40,0,-16,16,2058
2/28/2020,210,4,41,0,-20,20,2209
2/29/2020,230,5,46,0,-22,22,2339
3/1/2020,239,5,46,0,-23,23,2517
3/2/2020,254,6,47,0,-23,23,2613
3/3/2020,268,6,50,0,-24,24,2684
3/4/2020,284,6,52,0,-24,24,6519
3/5/2020,318,6,53,0,-27,27,6777
3/6/2020,349,6,71,0,-30,30,7476
3/7/2020,408,6,78,0,-28,28,8029
3/8/2020,455,6,82,0,-27,27,8176
3/9/2020,488,7,103,0,-33,33,8286
3/10/2020,514,9,104,0,-31,31,9600
3/11/2020,568,12,118,0,-26,26,10024
3/12/2020,624,15,123,0,-29,29,10205
3/13/2020,676,19,135,0,-32,32,12060
3/14/2020,716,21,144,0,-35,35,12919
3/15/2020,780,22,157,0,-36,36,13026
3/16/2020,814,24,164,0,-41,41,13068
3/17/2020,829,28,171,0,-46,46,13818
3/18/2020,873,29,191,0,-46,46,14021
3/19/2020,914,31,215,0,-49,49,14901
3/20/2020,950,33,227,0,-50,50,18844
3/21/2020,1007,35,232,0,-55,55,20100
3/22/2020,1046,36,272,0,-57,57,20228
3/23/2020,1089,41,275,0,-54,54,20340
3/24/2020,1128,42,301,0,-55,55,24430
3/25/2020,1193,43,310,0,-57,57,23521
3/26/2020,1292,45,359,0,-56,56,25171
3/27/2020,1387,46,372,0,-56,56,27005
3/28/2020,1499,49,404,0,-60,60,28464
3/29/2020,1693,52,424,0,-59,59,28760
